"split","video_name","source_video","source_label","target_video","target_label"
"train","static__MVI_40181","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_40181\MVI_40181.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_40181-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_40181.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_40181.json"
"train","static__MVI_40201","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_40201\MVI_40201.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_40201-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_40201.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_40201.json"
"train","static__MVI_40204","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_40204\MVI_40204.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_40204-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_40204.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_40204.json"
"train","static__MVI_40212","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_40212\MVI_40212.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_40212-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_40212.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_40212.json"
"train","static__MVI_40243","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_40243\MVI_40243.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_40243-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_40243.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_40243.json"
"train","static__MVI_40244","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_40244\MVI_40244.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_40244-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_40244.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_40244.json"
"train","static__MVI_40701","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_40701\MVI_40701.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_40701-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_40701.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_40701.json"
"train","static__MVI_40711","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_40711\MVI_40711.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_40711-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_40711.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_40711.json"
"train","static__MVI_40714","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_40714\MVI_40714.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_40714-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_40714.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_40714.json"
"train","static__MVI_40742","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_40742\MVI_40742.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_40742-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_40742.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_40742.json"
"train","static__MVI_40743","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_40743\MVI_40743.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_40743-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_40743.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_40743.json"
"train","static__MVI_40751","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_40751\MVI_40751.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_40751-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_40751.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_40751.json"
"train","static__MVI_40763","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_40763\MVI_40763.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_40763-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_40763.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_40763.json"
"train","static__MVI_40771","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_40771\MVI_40771.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_40771-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_40771.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_40771.json"
"train","static__MVI_40772","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_40772\MVI_40772.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_40772-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_40772.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_40772.json"
"train","static__MVI_40773","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_40773\MVI_40773.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_40773-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_40773.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_40773.json"
"train","static__MVI_40774","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_40774\MVI_40774.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_40774-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_40774.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_40774.json"
"train","static__MVI_40775","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_40775\MVI_40775.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_40775-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_40775.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_40775.json"
"train","static__MVI_40851","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_40851\MVI_40851.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_40851-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_40851.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_40851.json"
"train","static__MVI_40852","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_40852\MVI_40852.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_40852-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_40852.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_40852.json"
"train","static__MVI_40853","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_40853\MVI_40853.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_40853-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_40853.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_40853.json"
"train","static__MVI_40854","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_40854\MVI_40854.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_40854-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_40854.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_40854.json"
"high_risk","static__MVI_40855","C:\Users\12559\Desktop\yolo\dataset_split\high_risk\static\MVI_40855\MVI_40855.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_40855-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_40855.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_40855.json"
"train","static__MVI_40863","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_40863\MVI_40863.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_40863-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_40863.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_40863.json"
"train","static__MVI_40864","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_40864\MVI_40864.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_40864-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_40864.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_40864.json"
"high_risk","static__MVI_40871","C:\Users\12559\Desktop\yolo\dataset_split\high_risk\static\MVI_40871\MVI_40871.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_40871-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_40871.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_40871.json"
"train","static__MVI_40891","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_40891\MVI_40891.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_40891-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_40891.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_40891.json"
